date,GBX,USD
2016-08-24,270.15,3.562155604068214
2016-08-25,269.38,3.567420876386314
2016-08-26,269.29,3.5539233684469154
2016-08-30,272.49,3.5654399757526773
2016-08-31,270.23,3.5363475775184043
2016-09-01,268.14,3.5227637813188912
2016-09-02,269.09,3.5763533902241966
2016-09-05,269.25,3.5815543057925505
2016-09-06,268.8,3.5783930478314847
2016-09-07,269.07,3.609965282229254
2016-09-08,269.55,3.600114305857831
2016-09-09,268.71,3.578438742996842
2016-09-12,263.15,3.4899537302980783
2016-09-13,266.49,3.5515803190351534
2016-09-14,265.68,3.5032060616497325
2016-09-15,265.63,3.5222151599613443
2016-09-16,268.49,3.5549102341266603
2016-09-19,270.61,3.528245804312445
2016-09-20,272.86,3.560037450537027
2016-09-21,271.99,3.535460156953167
2016-09-22,273.99,3.5729349861250874
2016-09-23,276.55,3.6114452047105887
2016-09-26,275.25,3.5732095939490454
2016-09-27,273.81,3.5557344588939017
2016-09-28,273.99,3.562020740280381
2016-09-29,274.12,3.5715346337782585
2016-09-30,272.32,3.529840493513414
2016-10-03,276.58,3.5780887265539834
2016-10-04,279.42,3.5861871667208587
2016-10-05,277.53,3.5380572242864803
2016-10-06,277.54,3.534269373248304
2016-10-07,282.67,3.506877716371851
2016-10-10,281.44,3.495712996134151
2016-10-11,285.76,3.520399851054194
2016-10-12,281.67,3.4580948994713228
2016-10-13,281.75,3.431741305716885
2016-10-14,281.51,3.4464107441832446
2016-10-17,281.75,3.4268475435404206
2016-10-18,280.55,3.4345833074292815
2016-10-19,280.41,3.4492118421448117
2016-10-20,280.76,3.4508297676839454
2016-10-21,280.77,3.4380981428187325
2016-10-24,281.18,3.427717562581428
2016-10-25,282.36,3.4507292282871744
2016-10-26,279.27,3.396490990202417
2016-10-27,277.28,3.389164937160156
2016-10-28,278.65,3.394765485050462
2016-10-31,279.07,3.401100990525409
2016-11-01,278.26,3.404559855504633
2016-11-02,274.94,3.363245153351773
2016-11-03,271.03,3.343284408371618
2016-11-04,269.71,3.365064665340344
2016-11-07,271.38,3.381880947451745
2016-11-08,274.33,3.3994403387111505
2016-11-09,273.93,3.4034524906721186
2016-11-10,271.82,3.376596825748497
2016-11-11,263.59,3.310528021404332
2016-11-14,263.16,3.308196466685319
2016-11-15,262.21,3.2747245044544533
2016-11-16,264.51,3.300272173594108
2016-11-17,264.91,3.290268094108343
2016-11-18,267.37,3.313363618522408
2016-11-21,268.0,3.3077351957389625
2016-11-22,268.16,3.352059209248011
2016-11-23,268.49,3.3355434223541054
2016-11-24,266.57,3.313752965241135
2016-11-25,267.64,3.3302216617817457
2016-11-28,269.59,3.377288877113446
2016-11-29,267.7,3.3186030319003557
2016-11-30,270.15,3.3700825017348723
2016-12-01,261.9,3.280714882715086
2016-12-02,258.82,3.261517579143389
2016-12-05,258.89,3.2805777513732517
2016-12-06,258.91,3.3001843884637325
2016-12-07,262.14,3.32093523101663
2016-12-08,263.57,3.3360095182832077
2016-12-09,265.46,3.3423730954188806
2016-12-12,266.82,3.360171948264285
2016-12-13,267.15,3.3874651303583634
2016-12-14,269.28,3.4080803547828125
2016-12-15,270.54,3.3957852027668514
2016-12-16,272.76,3.3831804540074484
2016-12-19,273.45,3.4137964219528203
2016-12-20,275.04,3.41082797728653
2016-12-21,274.83,3.402693716031299
2016-12-22,275.58,3.4083473455556517
2016-12-23,277.95,3.4146686136319753
2016-12-28,278.57,3.4235695226532545
2016-12-29,277.39,3.395674924826522
2016-12-30,277.69,3.4096236669802993
2017-01-03,276.54,3.401266337438996
2017-01-04,277.53,3.396548044692737
2017-01-05,277.45,3.4181984378944095
2017-01-06,276.93,3.4315127154898133
2017-01-09,282.04,3.4559958546601015
2017-01-10,282.46,3.435899800543616
2017-01-11,282.43,3.4372973866765255
2017-01-12,281.13,3.428261802860411
2017-01-13,283.5,3.4459595559080096
2017-01-16,285.74,3.4356770013030142
2017-01-17,282.32,3.40714818734078
2017-01-18,280.86,3.464520354174481
2017-01-19,280.74,3.448486574119591
2017-01-20,280.79,3.46945928428601
2017-01-23,278.58,3.461533703376978
2017-01-24,278.46,3.4895154730695905
2017-01-25,277.11,3.4732139542473965
2017-01-26,276.6,3.4972568272415363
2017-01-27,276.83,3.485656309814827
2017-01-30,277.8,3.495919723472093
2017-01-31,278.77,3.488905380304403
2017-02-01,275.72,3.4663478704259156
2017-02-02,274.26,3.474837740029542
2017-02-03,280.88,3.516720784180768
